# Glossary for bo-Tara21 -> en (general grade), derived from graded-translate Phase 1 termbase (47 entries)
# Format: <tibetan form>\t<locked english rendering>
ཕྱག	Homage
ཕྱག་འཚལ	Homage
ཕྱག་འཚལ་བ	Homage
ཏཱ་རཱ	Tara
སྒྲོལ་མ	Tara
ཕན་ཡོན	benefits
འཕགས་མ་རྗེ་བཙུན་མ	the Noble and Venerable One
གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ན་མཿཏཱ་རཱ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ན་མཿཏཱ་རཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
སྟོ་ཏྲ་གུ་ཎ་ཧི་ཏ་སཱ་ཀ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ	Namaḥ Tārā Ekaviṃśati Stotra Guṇahita Sāka
བསྟོད	praise
བསྟོད་པ	praise
བཅོམ་ལྡན་འདས་མ་སྒྲོལ་མ	the Blessed Tārā
ཡང་དག	perfectly
ཡང་དག་པར	perfectly
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	the Perfectly Complete Buddha
བཅོམ་ལྡན་འདས་མ	the Blessed One
བསྟོད་པ་དངོས	the actual praise
གློག	lightning
འཇིག་རྟེན	world(s)
ཞལ	face
ཆུ་སྐྱེས	lotus
པདྨ	lotus
ཆུ་སྐྱེས་ཞལ	lotus face
འོད	light
འབར	blazing
ཟླ་བ	moon
རི་དགས་རྟགས་ཅན	moon
ཞི	peace
ཞི་བ	peace
མ་ལུས	without exception
ཧཱུཾ	hum
ཧཱུྃ	hum
ཡི་གེ	syllable
མནན	trampling
ཞབས	feet
ཏུ་ཏྟྭ་ར	tuttare
ཏུཏྟྭ་ར་ཡི་གེ	tuttare
ཚོགས	hosts
འབྱུང་པོ	spirits
འཇོམས	destroys
ཕཊ	phat
ཕཊ་ཀྱི་ཡི་གེ	phat
ཏྲད	trat
ཏུ་རེ	ture
ཆེ་བ	great
ཆེན་པོ	great
ཆེན་མོ	great
རབ	supreme
དབང	power
དགའ	joy
དགའ་བ	joy
ཡི་གེ་ཧཱུཾ	the syllable hum
ཡི་གེ་ཧཱུྃ	the syllable hum
ནུས	ability
ཡང་དག་ལྡན	perfectly endowed
ལྡན	endowed
ཡི་གེ་བཅུ་པའི་ངག	mantra
སྔགས	mantra
ལྷ་མོ	goddess
རོ་ལངས	vetāla
དབང	empowerment
གདོན	demons
གནོད་སྦྱིན	yaksas
མཐུ	might
